latitude,longitude,pokemon,times
52.71706900314,16.3611142570847,Krabby x 1 | Caterpie x 1 | Pidgey x 4 | Paras x 1 | Kakuna x 1 | Rattata x 1 | ,22:31:11 | 23:31:11 | 08:31:11 | 09:31:11 | 10:31:11 | 11:31:11 | 12:31:11 | 13:31:11 | 14:31:11 | 
52.7075756763224,16.3754018403179,Zubat x 11 | Spearow x 10 | Weedle x 11 | Rattata x 9 | Pidgey x 61 | ,21:56:57 | 21:57:44 | 21:58:34 | 21:59:58 | 22:01:09 | 22:01:19 | 22:02:33 | 22:02:43 | 22:04:07 | 22:04:17 | 22:05:46 | 22:05:57 | 22:08:03 | 22:08:13 | 22:11:33 | 22:11:37 | 22:57:03 | 22:57:32 | 23:01:11 | 23:01:40 | 23:05:19 | 23:05:47 | 23:09:24 | 23:09:54 | 23:11:37 | 23:57:01 | 23:57:06 | 00:02:13 | 00:03:51 | 00:05:36 | 00:07:15 | 00:08:55 | 00:08:58 | 00:10:39 | 00:10:43 | 00:11:37 | 08:57:09 | 08:58:14 | 09:00:10 | 09:01:16 | 09:03:09 | 09:04:14 | 09:06:10 | 09:07:12 | 09:09:08 | 09:10:13 | 09:11:37 | 09:57:33 | 09:58:37 | 10:00:31 | 10:01:36 | 10:03:31 | 10:04:38 | 10:06:34 | 10:07:41 | 10:09:37 | 10:10:45 | 10:11:37 | 10:58:09 | 10:59:13 | 11:01:07 | 11:02:10 | 11:04:05 | 11:05:08 | 11:07:02 | 11:08:06 | 11:10:00 | 11:11:04 | 11:11:37 | 11:56:40 | 11:57:43 | 11:59:37 | 12:00:40 | 12:02:34 | 12:03:39 | 12:05:33 | 12:06:38 | 12:08:32 | 12:09:36 | 12:11:34 | 12:11:37 | 12:57:32 | 12:59:27 | 13:00:30 | 13:02:25 | 13:03:27 | 13:05:23 | 13:06:26 | 13:08:20 | 13:09:24 | 13:11:21 | 13:11:37 | 13:57:19 | 13:59:14 | 14:00:18 | 14:02:13 | 14:03:16 | 14:05:11 | 14:06:13 | 14:08:08 | 14:09:13 | 14:11:10 | 
52.7030033198077,16.3894900720587,Paras x 1 | Spearow x 1 | Weedle x 2 | Rattata x 2 | Pidgey x 3 | ,21:59:53 | 22:59:53 | 23:59:53 | 08:59:53 | 09:59:53 | 10:59:53 | 11:59:53 | 12:59:53 | 13:59:53 | 
52.7052049500513,16.3715278096849,Weedle x 1 | Rattata x 2 | Pidgey x 3 | ,22:25:06 | 23:25:06 | 09:25:06 | 10:25:06 | 12:25:06 | 13:25:06 | 
52.7080079607974,16.3771996059596,Weedle x 2 | Pidgey x 3 | Beedrill x 1 | ,22:24:11 | 23:24:11 | 09:24:11 | 10:24:11 | 12:24:11 | 13:24:11 | 
52.7051882863007,16.3716454852598,Weedle x 1 | Krabby x 1 | Pidgeotto x 1 | Pidgey x 4 | Raticate x 1 | ,22:11:19 | 23:11:19 | 00:11:19 | 09:11:19 | 10:11:19 | 11:11:19 | 12:11:19 | 13:11:19 | 
52.7085241736344,16.3759800866172,Spearow x 1 | Pidgey x 4 | Rattata x 4 | ,22:09:44 | 23:09:44 | 00:09:44 | 09:09:44 | 10:09:44 | 11:09:44 | 12:09:44 | 13:09:44 | 14:09:44 | 
52.7084111939158,16.3785961770683,Zubat x 1 | Spearow x 2 | Pidgey x 3 | Rattata x 2 | ,22:28:58 | 23:28:58 | 09:28:58 | 10:28:58 | 11:28:58 | 12:28:58 | 13:28:58 | 14:28:58 | 
52.7074342631155,16.3751877830596,Kakuna x 1 | Weedle x 4 | Pidgey x 2 | Rattata x 2 | ,22:34:09 | 23:34:09 | 08:34:09 | 09:34:09 | 10:34:09 | 11:34:09 | 12:34:09 | 13:34:09 | 14:34:09 | 
52.7112034392029,16.3904016870695,Zubat x 1 | Oddish x 1 | Weedle x 1 | Pidgey x 1 | Rattata x 2 | ,22:19:53 | 23:19:53 | 09:19:53 | 10:19:53 | 12:19:53 | 13:19:53 | 
